"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2026-07-31","93.3","-1.26","5.82","Fedde, Erick",650490,607200,,"ball",,,,,14,,"R","R","R","TB","CWS","B",,,2,1,2026,"-0.07","0.55",0.4112341843089269,1.331556924233049,,,676439,2,5,"Bot",,,,,,,4.447420612230331,-135.74256930858454,-6.810066635901125,-1.8772283219736001,29.386186853906175,-24.073765094648852,3.227903543,1.629035433,,,,"94.1",2297,"6.7",822945,691011,808959,805367,678246,695657,803011,671976,695731,"53.77",,,,,,,,38,4,"Cutter",1,4,1,4,4,1,1,4,"Strategic","Standard",197,"0.007","0.106",,,,,"-0.106",,-3,-3,0.164,0.164,33,34,33,35,3,2,5,1,4,1,"2.07","0.07","0.07","38.3",,,,,
"FC","2026-07-31","93.2","-1.02","5.92","Fedde, Erick",650490,607200,,"ball",,,,,13,,"R","R","R","TB","CWS","B",,,1,1,2026,"-0.22","0.85",-0.1845647718737267,1.3859019442198017,,,676439,2,5,"Bot",,,,,,,2.61898570525481,-135.52838864184457,-7.599014860165108,-3.2518326020790362,29.809778946629862,-20.23366214640501,3.227903543,1.629035433,,,,"94.1",2094,"6.8",822945,691011,808959,805367,678246,695657,803011,671976,695731,"53.65",,,,,,,,38,3,"Cutter",1,4,1,4,4,1,1,4,"Strategic","Standard",200,"0.004","0.053",,,,,"-0.053",,-3,-3,0.16,0.16,33,34,33,35,3,2,5,1,4,1,"1.78","0.22","0.22","40.1",,,,,
"FC","2026-07-31","84.6","-2.58","5.89","Bibee, Tanner",606466,676440,"strikeout","called_strike",,,,,7,"Austin Hedges challenged (pitch result), call on the field was overturned: Ketel Marte called out on strikes.","R","L","R","CLE","AZ","S",2,,3,2,2026,"0.43","0.06",-0.820590969095284,1.6636182615568536,,,,0,7,"Top",,,,,,,3.2261740828660255,-123.32257039249941,-3.5132996547573474,3.8298161363768295,22.05412128004634,-31.081019835331702,3.218249672,1.624163386,,,,"85.9",2842,"6.8",824407,595978,700932,683953,608070,677587,680757,690984,682657,"53.71",,0,"0",1,0,0,,47,6,"Cutter",1,0,0,1,0,1,0,1,"Infield shade","Strategic",73,"0.055","-0.346",,,,,"0.346",,1,-1,0.681,0.31899999999999995,27,32,27,33,3,2,6,2,5,1,"3.08","-0.43","0.43","45.0",,,,,
"SI","2026-07-31","94.2","1.58","5.44","Drohan, Shane",624585,675660,,"called_strike",,,,,2,,"R","R","L","LAA","MIL","S",,,0,1,2026,"1.41","0.5",0.020175216525918138,3.465870338107365,,,,2,6,"Bot",,,,,,,-7.1640209017942995,-136.96194795904051,-0.38093945818759806,19.351965178565088,30.656563482325026,-25.99230538419616,3.354281496,1.692814961,,,,"93.9",2557,"6.2",823999,661388,641343,668930,666152,806198,694192,669003,800325,"54.31",,,,,,,,51,2,"Sinker",2,6,2,6,6,2,2,6,"Strategic","Standard",139,"-0.002","-0.061",,,,,"0.061",,-4,-4,0.065,0.065,27,34,27,34,3,2,7,3,,1,"2.07","1.41","-1.41","31.9",,,,,
"FS","2026-07-31","87.5","-2.28","5.78","Eovaldi, Nathan",572233,543135,,"called_strike",,,,,3,,"R","R","R","HOU","TEX","S",,,2,0,2026,"-1.17","0.48",0.5309650814646993,3.179920260088134,,,,0,5,"Bot",,,,,,,9.231292195675918,-127.19870327547736,-0.9642902555715934,-14.545124336899045,24.528568240855492,-26.972376440591145,3.178756562,1.604232283,,,,"88.5",1576,"6.8",824164,642851,669394,670032,677649,608369,694671,694497,607043,"53.66",,,,,,,,41,3,"Split-Finger",5,0,5,0,0,5,5,0,"Standard","Standard",237,"0","-0.078",,,,,"0.078",,5,5,0.961,0.961,36,35,36,35,3,2,6,2,,1,"2.49","1.17","1.17","36.7",,,,,
"ST","2026-07-31","83","-2.83","6.05","Painter, Andrew",621493,691725,,"called_strike",,,,,6,,"R","R","R","BAL","PHI","S",,,3,1,2026,"1.46","0.34",0.5977118638151768,2.2793408314558405,,,,1,6,"Bot",,,,,,,4.823954649274942,-120.8086928471776,-2.6040703867188566,13.352800906243592,23.71686814787825,-28.576766232534442,3.190165682,1.609990158,,,,"83",2541,"6.3",824809,592663,547180,681082,664761,607208,669016,702222,687282,"54.22",,,,,,,,47,5,"Sweeper",2,4,2,4,4,2,2,4,"Standard","Standard",67,"-0.01","-0.094",,,,,"0.094",,-2,-2,0.241,0.241,23,32,23,33,3,2,44,2,5,1,"2.97","-1.46","-1.46","34.8",,,,,
"SL","2026-07-31","85.6","-2.04","5.48","Skenes, Paul",667472,694973,,"ball",,,,,12,,"R","R","R","CIN","PIT","B",,,0,0,2026,"0.38","0.01",0.8803873507698005,2.709719468126737,,663886,553993,2,3,"Bot",,,,,,,6.078334844105034,-124.61208936596469,-0.08126924622827125,2.7138803676846552,25.208727484727547,-32.3130079241055,3.213861549,1.621948819,,,,"86.4",2294,"6.8",824486,680779,682848,664040,693304,694378,668804,663968,699013,"53.69",,,,,,,,32,1,"Slider",3,3,3,3,3,3,3,3,"Standard","Standard",94,"0.003","0.026",,,,,"-0.026",,0,0,0.549,0.549,24,30,24,30,2,1,6,1,5,2,"3.1","-0.38","-0.38","26.5",,,,,
"SL","2026-07-31","88.5","-1.53","6.17","Greene, Hunter",664040,668881,,"called_strike",,,,,1,,"R","L","R","CIN","PIT","S",,,1,1,2026,"0.37","0.24",-0.5204653614739129,3.138827627454088,,,,0,5,"Top",,,,,,,1.6346799819787805,-128.9808426502018,-1.668314854564868,3.850508953621943,26.292888678943815,-29.375312327537916,3.088361221,1.558612205,,,,"89",2302,"6.5",824486,663886,701398,680574,553993,682829,668709,667472,682622,"54.03",,,,,,,,42,3,"Slider",5,3,3,5,3,5,3,5,"Standard","Standard",142,"0.008","-0.063",,,,,"0.063",,2,-2,0.752,0.248,26,31,27,32,3,2,6,1,,1,"2.66","-0.37","0.37","42.1",,,,,
"FS","2026-07-31","87.8","-2.22","5.71","Eovaldi, Nathan",670623,543135,,"ball",,,,,13,,"R","R","R","HOU","TEX","B",,,1,1,2026,"-1.31","0.06",-0.22303643794400707,1.3281905778553162,,,,0,5,"Bot",,,,,,,7.614961213170151,-127.66300189747382,-4.417398716958159,-15.889874463442831,25.384151347649798,-30.77314452604062,3.180511811,1.60511811,,,,"88.8",1550,"6.9",824164,642851,669394,670032,677649,608369,694671,694497,607043,"53.61",,,,,,,,40,3,"Split-Finger",4,0,4,0,0,4,4,0,"Infield shade","Standard",238,"0.001","0.063",,,,,"-0.063",,4,4,0.931,0.931,36,27,36,27,3,2,6,2,,1,"2.89","1.31","1.31","35.9",,,,,
"FF","2026-07-31","94.7","-1.98","6.04","Matthews, Zebby",663728,805673,,"ball",,,,,13,,"R","L","R","SEA","MIN","B",,,0,1,2026,"-0.95","1.33",-0.6709540896370557,1.490962658940505,,,,0,4,"Bot",,,,,,,5.538370350503648,-137.62823640023578,-8.975868655770586,-13.28117540926671,29.96353995627472,-13.424432242088747,3.282316273,1.656496063,,,,"94.8",2314,"6.4",823111,680777,668904,665019,686797,656484,663616,807712,702176,"54.1",,,,,,,,31,2,"4-Seam Fastball",3,2,3,2,2,3,3,2,"Infield shade","Standard",218,"0.002","0.029",,,,,"-0.029",,1,1,0.682,0.682,26,29,26,30,2,1,7,1,,1,"1.21","0.95","-0.95","40.4",,,,,
