"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FC","2026-07-31","90.3","-2.35","5.68","Matthews, Zebby",702284,805673,"strikeout","called_strike",,,,,2,"Cole Young challenged (pitch result), call on the field was confirmed: Cole Young called out on strikes.","R","L","R","SEA","MIN","S",2,,3,2,2026,"0.15","0.83",0.14775441277227877,3.2310400583390826,,,645302,0,5,"Bot",,,,,,,5.836710888971609,-131.55616905422383,-1.8149917333042702,0.6028959338600303,25.434455572245117,-22.339670452706315,3.133120079,1.581200787,,,,"91.1",2389,"6.5",823111,680777,668904,665019,686797,656484,663616,807712,702176,"53.97",,0,"0",1,0,0,,38,9,"Cutter",3,2,3,2,2,3,3,2,"Standard","Standard",191,"-0.038","-0.311",,,,,"0.311",,1,1,0.748,0.748,26,22,26,23,3,2,7,1,,1,"1.94","-0.15","0.15","35.3",,,,,
"ST","2026-07-31","82.7","-3.5","5.51","Warren, Will",699393,701542,,"ball",,,,,14,,"R","L","R","CHC","NYY","B",,,2,0,2026,"1.48","-0.2",0.37303113915933306,1.3736144656022438,,,,0,7,"Bot",,,,,,,5.7862505070204335,-120.2432713302224,-2.2394763903594654,13.030759429367778,25.117912537692707,-33.84811468494209,3.088361221,1.558612205,,,,"82.5",3029,"6.4",824651,645305,502671,676609,641857,683011,682987,663757,691176,"54.1",,,,,,,,44,3,"Sweeper",0,2,0,2,2,0,0,2,"Standard","Standard",57,"0.02","0.152",,,,,"-0.152",,-2,-2,0.242,0.242,27,22,27,22,3,2,5,1,5,1,"3.56","-1.48","1.48","28.3",,,,,
"KC","2026-07-31","86.1","-1.63","6.09","Márquez, Germán",683679,608566,,"ball",,,,,14,,"R","R","R","SD","SF","B",,,0,2,2026,"-0.04","0.12",0.17740752079654756,1.423358834451839,,,,2,9,"Top",,,,,,,4.258712732994218,-125.33253956839995,-4.719598417695173,-1.3792295568377044,26.884400064460188,-30.160221653323195,3.115567585,1.57234252,,,,"84.5",2513,"5.4",823272,666023,664034,650859,592518,593428,687749,701538,665487,"55.12",,,,,,,,69,4,"Knuckle Curve",7,0,0,7,0,7,0,7,"Strategic","Standard",341,"0","0.025",,,,,"-0.025",,7,-7,0.999,0.0010000000000000009,31,24,31,24,2,0,7,2,4,,"2.97","0.04","0.04","37.8",,,,,
"SL","2026-07-31","83.2","-1.41","6.14","Elder, Bryce",695670,693821,,"ball",,,,,14,,"R","R","R","ATL","WSH","B",,,2,2,2026,"0.18","-0.58",1.045337254549424,1.899896789773143,,,,2,4,"Top",,,,,,,5.231126022644862,-121.18241362239453,-1.9199531054126162,0.793886397576906,23.17250063857598,-37.713149248304866,3.122588583,1.575885827,,,,"83.9",2562,"6.7",824892,663698,621566,645277,663586,805347,643289,671739,660670,"53.82",,,,,,,,30,5,"Slider",2,1,1,2,1,2,1,2,"Standard","Standard",43,"-0.004","0.083",,,,,"-0.083",,1,-1,0.674,0.32599999999999996,27,23,27,23,2,1,6,2,5,2,"3.86","-0.18","-0.18","46.8",,,,,
"FF","2026-07-31","96","-1.94","6.02","Matthews, Zebby",647304,805673,,"called_strike",,,,,9,,"R","L","R","SEA","MIN","S",,,0,0,2026,"-0.62","1.38",0.6491622204552288,1.7254231500378536,,,,2,3,"Bot",,,,,,,8.195346282758281,-139.3935675524277,-8.690541590181578,-9.898428276486714,30.71972974209141,-12.419115700382857,3.110301837,1.569685039,,,,"96.2",2331,"6.5",823111,680777,668904,665019,686797,656484,663616,807712,702176,"54.05",,,,,,,,26,1,"4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard",211,"-0.001","-0.043",,,,,"0.043",,1,1,0.633,0.633,26,29,26,29,2,1,7,1,,1,"1.1","0.62","-0.62","41.9",,,,,
"CH","2026-07-31","87.7","1.64","5.4","Drohan, Shane",694203,675660,,"ball",,,,,13,,"R","R","L","LAA","MIL","B",,,1,1,2026,"1.09","0.25",-0.4627460976006399,1.494831923514861,,,687093,1,5,"Bot",,,,,,,-7.254061888737428,-127.48764649818855,-3.589286501387199,13.33614038622658,25.708852740978077,-28.922539494393135,3.250721785,1.640551181,,,,"87.4",1965,"6.1",823999,661388,641343,668930,666152,806198,694192,669003,800325,"54.42",,,,,,,,42,3,"Changeup",0,6,0,6,6,0,0,6,"Standard","Standard",124,"0.003","0.063",,,,,"-0.063",,-6,-6,0.045,0.045,27,22,27,22,2,1,7,2,,1,"2.72","1.09","-1.09","28.6",,,,,
"SI","2026-07-31","95.7","-1.56","5.75","Bello, Brayan",571970,678394,,"ball",,,,,12,,"R","L","R","LAD","BOS","B",,,2,2,2026,"-1.39","0.43",0.27874288877612874,3.3481002509971516,,518692,663656,2,8,"Bot",,,,,,,7.946907721468373,-139.17643503079225,-1.5483983305810234,-19.79168995255306,30.08266718371598,-26.373921866684096,3.127854331,1.578543307,,,,"95.7",1980,"6.2",823922,665966,686765,678011,702332,655316,680776,678882,677800,"54.25",,,,,,,,75,5,"Sinker",4,8,4,8,8,4,4,8,"Standard","Standard",228,"0.009","0.06",,,,,"-0.06",,-4,-4,0.037,0.037,27,35,27,36,2,1,9,1,4,1,"2.05","1.39","-1.39","41.7",,,,,
"SL","2026-07-31","89.7","-2.34","6.06","Greene, Hunter",699013,668881,,"ball",,,,,14,,"R","R","R","CIN","PIT","B",,,1,2,2026,"0.33","0.37",0.9294755888256605,2.3472618551126985,,,668804,0,3,"Top",,,,,,,7.278412496142542,-130.48092211146664,-3.7581225007297583,2.195396492169,28.47095431022849,-27.294979858332223,3.311277887,1.671112205,,,,"89.8",2354,"6.5",824486,663886,701398,680574,553993,682829,668709,667472,682622,"54.04",,,,,,,,23,4,"Slider",2,3,3,2,3,2,3,2,"Standard","Standard",153,"-0.005","0.04",,,,,"-0.04",,-1,1,0.363,0.637,26,22,27,22,2,1,6,1,,1,"2.47","-0.33","-0.33","41.2",,,,,
"FS","2026-07-31","82","-2.05","6.14","Curry, Xzavion",665052,675540,,"ball",,,,,11,,"R","L","R","NYM","MIA","B",,,1,0,2026,"-0.82","0.82",-0.7156513721896368,3.62733812712225,,669065,,2,8,"Top",,,,,,,4.540335928451298,-119.40166711536489,-0.6133144027678845,-8.686655991582127,20.890621410242076,-24.368425225905707,3.234046916,1.632135827,,,,"81.6",1739,"5.8",823593,682626,676724,543760,666182,596019,805999,673357,701807,"54.7",,,,,,,,63,2,"Split-Finger",2,5,5,2,5,2,5,2,"Infield shade","Standard",204,"-0.001","0.026",,,,,"-0.026",,-3,3,0.076,0.924,27,28,28,29,2,3,11,1,6,1,"2.54","0.82","-0.82","58.3",,,,,
"FF","2026-07-31","93","-2.15","6.31","Bibee, Tanner",682998,676440,,"ball",,,,,12,,"R","L","R","CLE","AZ","B",,,0,0,2026,"-0.39","1.08",0.6854433700068859,3.256404081866699,,,814439,2,3,"Top",,,,,,,8.13011636469484,-135.2445379426759,-4.355896838432997,-6.470369099691697,26.456533366150673,-18.091769095767773,3.10328084,1.566141732,,,,"94.3",2273,"6.8",824407,595978,656555,683953,608070,677587,681807,680757,682657,"53.67",,,,,,,,18,1,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shade","Strategic",204,"-0.003","0.038",,,,,"-0.038",,1,-1,0.643,0.357,27,25,27,26,2,1,6,2,5,1,"1.53","0.39","-0.39","56.2",,,,,
