"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2026-07-31","82.5","-2.55","5.99","Bibee, Tanner",571448,676440,,"called_strike",,,,,9,,"R","R","R","CLE","AZ","S",,,2,1,2026,"1.37","-0.04",0.48641985862647963,1.61422096803898,,,,2,2,"Top",,,,,,,4.139440557638694,-120.17248799517292,-3.120204225237135,12.446814821651639,23.862382163218783,-32.187636361666506,3.277050525,1.653838583,,,,"83.1",2659,"6.7",824407,595978,656555,683953,608070,677587,681807,680757,682657,"53.84",,,,,,,,11,4,"Sweeper",1,0,0,1,0,1,0,1,"Strategic","Strategic",59,"0.003","-0.079",,,,,"0.079",,1,-1,0.644,0.356,27,35,27,35,1,0,6,2,5,1,"3.39","-1.37","-1.37","47.2",,,,,
"CU","2026-07-28","73","2.48","6.17","Harris, Hogan",655316,663687,,"ball",,,,,12,,"R","R","L","ATH","BOS","B",,,1,1,2026,"-0.76","-1.37",0.8636876153641874,3.0178325945145597,,,680776,1,9,"Top",,,,,,,-1.8808621764222837,-106.1552734646332,3.717521934522959,-5.348183122754749,19.957883212856856,-43.371007917071296,3.148039698,1.588730315,,,,"72.8",2716,"6.4",824976,661531,701762,675961,695720,805779,691016,703607,671732,"54.11",,,,,,,,70,3,"Curveball",4,1,1,4,1,4,1,4,"Standard","Standard",345,"-0.006","0.062",,,,,"-0.062",,3,-3,0.964,0.03600000000000003,29,29,30,29,1,3,1,1,5,1,"5.68","-0.76","0.76","59.2",,,,,
"FF","2026-07-28","94.8","2.37","5.99","Harris, Hogan",677800,663687,,"called_strike",,,,,4,,"R","L","L","ATH","BOS","S",,,3,1,2026,"0.69","1.45",-0.825997980794775,2.590800155057662,807799,,575929,2,8,"Top",,,,,,,-9.827731403582206,-137.5491747031217,-6.248713076502499,11.030448917901941,31.96254277493887,-12.570440896099791,3.117322835,1.573228347,,,,"94.7",2358,"6.5",824976,661531,701762,675961,695720,805779,691016,703607,687515,"53.99",,,,,,,,61,5,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",148,"0.01","-0.106",,,,,"0.106",,3,-3,0.911,0.08899999999999997,29,27,30,27,1,3,1,1,5,1,"1.11","0.69","0.69","55.2",,,,,
"FF","2026-07-26","92.6","2.68","5.58","Freeland, Kyle",641343,607536,"walk","ball",,,,,13,"Kyle Freeland challenged (pitch result), call on the field was confirmed: Jake Bauers walks.","R","L","L","MIL","COL","B",,,3,1,2026,"0.66","1.2",-0.837585504134864,1.8394848659814838,,,,1,6,"Bot",,,,,,,-10.384328064805889,-134.3302932621128,-6.2105686702584215,10.140948755308624,28.36784438341454,-16.412768447884908,3.217372047,1.623720472,,,,"93.3",2323,"6.8",823755,696100,681198,666397,691720,650489,664983,694249,687859,"53.69",,0.697905,"0.7",1,0,0,,45,5,"4-Seam Fastball",4,1,4,1,1,4,4,1,"Strategic","Standard",129,"0.005","0.244",,,,,"-0.244",,3,3,0.907,0.907,33,30,33,31,3,2,6,1,7,1,"1.47","0.66","0.66","24.3",,,,,
"FF","2026-07-26","97.3","-0.82","6.19","Ashcraft, Braxton",624424,677952,,"ball",,,,,14,,"R","L","R","PIT","CHC","B",,,2,1,2026,"-0.65","1.31",0.9102119674260118,1.8434435062095873,,,,1,2,"Top",,,,,,,6.09639974951254,-141.46758933391374,-8.98132971094472,-10.05970391155345,29.945292451541306,-12.741891017129035,3.181389436,1.605561024,,,,"97.8",2433,"6.4",823354,676566,656811,664040,693304,694378,682997,663968,699013,"54.05",,,,,,,,9,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shade","Standard",219,"-0.007","0.127",,,,,"-0.127",,0,0,0.52,0.48,26,33,27,33,1,0,6,1,6,2,"1.09","0.65","-0.65","41.2",,,,,
"SI","2026-07-26","95.3","2.08","6.06","Sánchez, Cristopher",642708,650911,,"ball",,,,,11,,"R","R","L","PHI","NYY","B",,,0,2,2026,"1.52","0.12",-0.05585893536147091,3.523180647903942,,,502671,1,1,"Top",,,,,,,-9.073487538067768,-138.59015868179316,-1.139452065460277,21.55473894466218,29.88320340914702,-30.591795609999252,3.270907152,1.650738189,,,,"96.2",2160,"6.8",823433,592663,547180,681082,664761,607208,669016,702222,687282,"53.73",,,,,,,,3,3,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",121,"-0.003","0.016",,,,,"-0.016",,0,0,0.509,0.491,29,30,30,31,1,0,6,1,6,1,"2.39","1.52","-1.52","32.0",,,,,
"FF","2026-07-25","93.9","-1.89","6.33","Burke, Sean",572233,680732,,"ball",,,,,14,,"R","R","R","CWS","HOU","B",,,2,2,2026,"0.01","1.53",0.5414905303630864,1.3960641492995078,,,,0,5,"Top",,,,,,,6.251103336321184,-136.41574605136793,-10.354893147474153,-1.1698073850053,28.101493553650265,-11.038708938343298,3.178756562,1.604232283,,,,"95.1",2596,"6.9",824571,700337,808959,805367,678246,695657,803011,671976,695731,"53.55",,,,,,,,29,5,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",200,"-0.011","0.112",,,,,"-0.112",,0,0,0.504,0.496,26,35,27,35,2,1,6,1,5,2,"1.05","-0.01","-0.01","46.3",,,,,
"FF","2026-07-21","94.2","-1.4","5.65","Buehler, Walker",573262,621111,,"called_strike",,,,,4,,"R","L","R","ATL","SD","S",,,1,1,2026,"-0.29","1.02",-0.7806612151457368,2.496120931795068,,,643289,1,2,"Bot",,,,,,,2.249021202655365,-137.3108314485151,-4.658788788907586,-4.1808063570116065,27.362617878343734,-18.44657116427501,3.125221457,1.577214567,,,,"94.9",2032,"6.4",824895,669134,664034,630105,592518,593428,657757,701538,665487,"54.1",,,,,,,,17,3,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Infield shade","Standard",198,"-0.008","-0.067",,,,,"0.067",,-1,-1,0.444,0.444,31,35,32,36,1,0,10,11,5,1,"1.52","0.29","-0.29","45.2",,,,,
"SI","2026-07-20","96.8","-1.4","5.72","Kirby, George",663647,669923,,"ball",,,,,14,,"R","R","R","SEA","CIN","B",,,0,1,2026,"-1.44","0.54",0.8855557222765342,2.229501809949425,,667472,,2,5,"Top",,,,,,,9.456793900228092,-140.6568569778371,-4.810459819513907,-21.314147797247845,32.17964927657597,-24.04930172855022,3.166469816,1.598031496,,,,"97.5",2390,"6.8",823112,663728,647304,702284,671083,806068,668227,677594,645302,"53.7",,,,,,,,33,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",223,"-0.005","0.02",,,,,"-0.02",,0,0,0.528,0.472,28,29,28,29,2,1,12,3,7,2,"1.9","1.44","1.44","36.3",,,,,
"FF","2026-07-20","91.8","2.63","5.73","Freeland, Kyle",671277,607536,,"called_strike",,,,,3,,"R","L","L","COL","WSH","S",,,0,0,2026,"0.66","0.81",0.7578152727113686,2.8471434128843938,,,,1,4,"Top",,,,,,,-6.181359016385049,-133.80906499079862,-3.1972220837170715,9.046269913633555,21.747009899686198,-21.90036516520869,3.248088911,1.639222441,,,,"93.5",2336,"6.7",824328,690924,681198,650489,691720,678662,664983,694249,671289,"53.83",,,,,,,,33,1,"4-Seam Fastball",3,3,3,3,3,3,3,3,"Infield shade","Standard",130,"0.003","-0.041",,,,,"0.041",,0,0,0.527,0.473,33,26,33,26,2,1,9,1,6,1,"1.83","0.66","0.66","24.1",,,,,
